criterion,n_hours,ECG_0,ECG_1,ECG_2,ECG_3,ECG_4,ECG_5,ECG_6,ECG_7,ECG_8,ECG_9,ECG_10,ECG_11
criterion1,0,130751,66852,6456,918,187,50,11,12,3,0,0,0
criterion1,2,172365,29353,2929,429,118,31,6,7,2,0,0,0
criterion1,4,184961,17716,2036,379,104,28,6,7,2,1,0,0
criterion1,6,187990,14961,1786,357,92,38,6,5,5,0,0,0
criterion1,8,188809,14201,1738,342,102,30,9,4,4,0,0,1
criterion1,10,188910,14135,1712,331,102,33,7,6,3,0,0,1
criterion1,12,188566,14503,1727,304,93,33,8,4,1,0,0,1
criterion2_all_t1,0,46571,8269,1039,207,44,15,7,1,0,0,0,0
criterion2_all_t1,2,48803,6401,757,137,37,11,6,1,0,0,0,0
criterion2_all_t1,4,49478,5775,710,135,40,6,6,2,1,0,0,0
criterion2_all_t1,6,49993,5339,651,123,30,6,8,2,1,0,0,0
criterion2_all_t1,8,50575,4811,603,119,29,6,6,3,1,0,0,0
criterion2_all_t1,10,51183,4299,535,89,29,12,4,1,1,0,0,0
criterion2_all_t1,12,51852,3774,427,62,24,11,1,2,0,0,0,0
criterion2_earliest,0,35407,6697,879,165,38,14,6,1,0,0,0,0
criterion2_earliest,2,37190,5224,631,117,30,9,5,1,0,0,0,0
criterion2_earliest,4,37669,4782,590,117,35,6,5,2,1,0,0,0
criterion2_earliest,6,37987,4513,553,109,29,6,7,2,1,0,0,0
criterion2_earliest,8,38378,4154,525,108,27,6,5,3,1,0,0,0
criterion2_earliest,10,38795,3799,488,80,28,11,4,1,1,0,0,0
criterion2_earliest,12,39288,3424,402,57,22,11,1,2,0,0,0,0
criterion2_nearest,0,36210,6111,720,123,30,8,4,1,0,0,0,0
criterion2_nearest,2,38188,4435,472,86,20,3,2,1,0,0,0,0
criterion2_nearest,4,38793,3891,423,77,17,3,2,1,0,0,0,0
criterion2_nearest,6,39180,3571,370,64,12,4,4,2,0,0,0,0
criterion2_nearest,8,39614,3166,348,58,11,5,2,3,0,0,0,0
criterion2_nearest,10,40030,2802,314,38,14,6,2,1,0,0,0,0
criterion2_nearest,12,40443,2471,247,26,14,5,0,1,0,0,0,0
