scope,n_offset_hours,window,label,chexpert_column,positive_patient_definition,positive_patients,cohort_patients,positive_patient_percent_of_cohort,patients_with_explicit_0_or_1,positive_percent_among_explicit_patients,positive_cxr_studies,cohort_cxr_studies
full_intersection,,no temporal restriction,pneumonia,Pneumonia,unique patient with >=1 CXR study labeled exactly 1,9252,54362,17.019241381847614,20412,45.326278659611994,15051,205240
full_intersection,,no temporal restriction,consolidation,Consolidation,unique patient with >=1 CXR study labeled exactly 1,5377,54362,9.891100401015414,10324,52.08252615265401,9925,205240
full_intersection,,no temporal restriction,lung_opacity,Lung Opacity,unique patient with >=1 CXR study labeled exactly 1,18117,54362,33.32658842573857,19104,94.83354271356784,47377,205240
full_intersection,,no temporal restriction,pneumothorax,Pneumothorax,unique patient with >=1 CXR study labeled exactly 1,3108,54362,5.717228946690703,16892,18.39924224484963,8970,205240
full_intersection,,no temporal restriction,pleural_effusion,Pleural Effusion,unique patient with >=1 CXR study labeled exactly 1,13169,54362,24.22464221331077,23108,56.988921585598064,50555,205240
full_intersection,,no temporal restriction,pulmonary_edema,Edema,unique patient with >=1 CXR study labeled exactly 1,9096,54362,16.732276222361207,19527,46.58165616838224,25348,205240
window_n0,0,"[t2-0-12h, t2-0]",pneumonia,Pneumonia,unique patient with >=1 CXR study labeled exactly 1,3729,38168,9.76996436805701,8213,45.403628394009495,4362,73327
window_n0,0,"[t2-0-12h, t2-0]",consolidation,Consolidation,unique patient with >=1 CXR study labeled exactly 1,1976,38168,5.177111716621253,4568,43.25744308231173,2369,73327
window_n0,0,"[t2-0-12h, t2-0]",lung_opacity,Lung Opacity,unique patient with >=1 CXR study labeled exactly 1,9501,38168,24.892580171871725,9898,95.98908870478884,14005,73327
window_n0,0,"[t2-0-12h, t2-0]",pneumothorax,Pneumothorax,unique patient with >=1 CXR study labeled exactly 1,870,38168,2.2793963529658354,7004,12.42147344374643,1245,73327
window_n0,0,"[t2-0-12h, t2-0]",pleural_effusion,Pleural Effusion,unique patient with >=1 CXR study labeled exactly 1,6729,38168,17.629951792077133,10770,62.4791086350975,11700,73327
window_n0,0,"[t2-0-12h, t2-0]",pulmonary_edema,Edema,unique patient with >=1 CXR study labeled exactly 1,5052,38168,13.236218822049885,8977,56.27715272362705,8483,73327
window_n2,2,"[t2-2-12h, t2-2]",pneumonia,Pneumonia,unique patient with >=1 CXR study labeled exactly 1,1827,20312,8.994682946041749,4220,43.29383886255924,2010,32173
window_n2,2,"[t2-2-12h, t2-2]",consolidation,Consolidation,unique patient with >=1 CXR study labeled exactly 1,1183,20312,5.824143363528949,2248,52.62455516014235,1357,32173
window_n2,2,"[t2-2-12h, t2-2]",lung_opacity,Lung Opacity,unique patient with >=1 CXR study labeled exactly 1,5149,20312,25.349547065773926,5385,95.61745589600743,6680,32173
window_n2,2,"[t2-2-12h, t2-2]",pneumothorax,Pneumothorax,unique patient with >=1 CXR study labeled exactly 1,706,20312,3.4757778653013,5014,14.08057439170323,965,32173
window_n2,2,"[t2-2-12h, t2-2]",pleural_effusion,Pleural Effusion,unique patient with >=1 CXR study labeled exactly 1,4432,20312,21.819614021268215,7063,62.749539855585446,6559,32173
window_n2,2,"[t2-2-12h, t2-2]",pulmonary_edema,Edema,unique patient with >=1 CXR study labeled exactly 1,3119,20312,15.355454903505317,5621,55.48834726916919,4395,32173
window_n4,4,"[t2-4-12h, t2-4]",pneumonia,Pneumonia,unique patient with >=1 CXR study labeled exactly 1,1365,12368,11.036545924967658,3117,43.792107795957655,1512,19694
window_n4,4,"[t2-4-12h, t2-4]",consolidation,Consolidation,unique patient with >=1 CXR study labeled exactly 1,1043,12368,8.433053040103493,1593,65.47394852479599,1208,19694
window_n4,4,"[t2-4-12h, t2-4]",lung_opacity,Lung Opacity,unique patient with >=1 CXR study labeled exactly 1,3878,12368,31.35510996119017,4075,95.16564417177914,5053,19694
window_n4,4,"[t2-4-12h, t2-4]",pneumothorax,Pneumothorax,unique patient with >=1 CXR study labeled exactly 1,660,12368,5.336351875808538,4400,15.0,900,19694
window_n4,4,"[t2-4-12h, t2-4]",pleural_effusion,Pleural Effusion,unique patient with >=1 CXR study labeled exactly 1,3793,12368,30.66785252263907,6012,63.090485695276115,5521,19694
window_n4,4,"[t2-4-12h, t2-4]",pulmonary_edema,Edema,unique patient with >=1 CXR study labeled exactly 1,2675,12368,21.628395860284606,4771,56.06791029134354,3660,19694
window_n6,6,"[t2-6-12h, t2-6]",pneumonia,Pneumonia,unique patient with >=1 CXR study labeled exactly 1,1259,10194,12.350402197371002,2790,45.12544802867384,1395,16680
window_n6,6,"[t2-6-12h, t2-6]",consolidation,Consolidation,unique patient with >=1 CXR study labeled exactly 1,999,10194,9.799882283696292,1430,69.86013986013987,1158,16680
window_n6,6,"[t2-6-12h, t2-6]",lung_opacity,Lung Opacity,unique patient with >=1 CXR study labeled exactly 1,3602,10194,35.33451049637041,3772,95.49310710498409,4719,16680
window_n6,6,"[t2-6-12h, t2-6]",pneumothorax,Pneumothorax,unique patient with >=1 CXR study labeled exactly 1,636,10194,6.238964096527369,4256,14.943609022556391,859,16680
window_n6,6,"[t2-6-12h, t2-6]",pleural_effusion,Pleural Effusion,unique patient with >=1 CXR study labeled exactly 1,3692,10194,36.21738277418089,5715,64.60192475940508,5397,16680
window_n6,6,"[t2-6-12h, t2-6]",pulmonary_edema,Edema,unique patient with >=1 CXR study labeled exactly 1,2538,10194,24.896998234255445,4478,56.67708798570791,3459,16680
window_n8,8,"[t2-8-12h, t2-8]",pneumonia,Pneumonia,unique patient with >=1 CXR study labeled exactly 1,1253,9619,13.026302110406487,2711,46.219107340464774,1393,15879
window_n8,8,"[t2-8-12h, t2-8]",consolidation,Consolidation,unique patient with >=1 CXR study labeled exactly 1,984,9619,10.229753612641646,1385,71.04693140794224,1174,15879
window_n8,8,"[t2-8-12h, t2-8]",lung_opacity,Lung Opacity,unique patient with >=1 CXR study labeled exactly 1,3499,9619,36.37592265308244,3668,95.39258451472192,4622,15879
window_n8,8,"[t2-8-12h, t2-8]",pneumothorax,Pneumothorax,unique patient with >=1 CXR study labeled exactly 1,642,9619,6.674290466784489,4214,15.234931181775035,851,15879
window_n8,8,"[t2-8-12h, t2-8]",pleural_effusion,Pleural Effusion,unique patient with >=1 CXR study labeled exactly 1,3709,9619,38.55910177773157,5629,65.8909220110144,5418,15879
window_n8,8,"[t2-8-12h, t2-8]",pulmonary_edema,Edema,unique patient with >=1 CXR study labeled exactly 1,2484,9619,25.823890217278304,4378,56.738236637734126,3429,15879
window_n10,10,"[t2-10-12h, t2-10]",pneumonia,Pneumonia,unique patient with >=1 CXR study labeled exactly 1,1246,9444,13.193562049978823,2642,47.16124148372445,1390,15751
window_n10,10,"[t2-10-12h, t2-10]",consolidation,Consolidation,unique patient with >=1 CXR study labeled exactly 1,985,9444,10.429902583650996,1391,70.81236520488856,1183,15751
window_n10,10,"[t2-10-12h, t2-10]",lung_opacity,Lung Opacity,unique patient with >=1 CXR study labeled exactly 1,3463,9444,36.66878441338416,3626,95.50468836183121,4596,15751
window_n10,10,"[t2-10-12h, t2-10]",pneumothorax,Pneumothorax,unique patient with >=1 CXR study labeled exactly 1,644,9444,6.819144430326133,4300,14.976744186046512,858,15751
window_n10,10,"[t2-10-12h, t2-10]",pleural_effusion,Pleural Effusion,unique patient with >=1 CXR study labeled exactly 1,3756,9444,39.7712833545108,5567,67.4690138315071,5578,15751
window_n10,10,"[t2-10-12h, t2-10]",pulmonary_edema,Edema,unique patient with >=1 CXR study labeled exactly 1,2436,9444,25.79415501905972,4309,56.53283824553261,3402,15751
window_n12,12,"[t2-12-12h, t2-12]",pneumonia,Pneumonia,unique patient with >=1 CXR study labeled exactly 1,1253,9410,13.315621679064824,2632,47.6063829787234,1409,16076
window_n12,12,"[t2-12-12h, t2-12]",consolidation,Consolidation,unique patient with >=1 CXR study labeled exactly 1,981,9410,10.425079702444208,1368,71.71052631578948,1182,16076
window_n12,12,"[t2-12-12h, t2-12]",lung_opacity,Lung Opacity,unique patient with >=1 CXR study labeled exactly 1,3481,9410,36.99256110520723,3633,95.81612992017617,4694,16076
window_n12,12,"[t2-12-12h, t2-12]",pneumothorax,Pneumothorax,unique patient with >=1 CXR study labeled exactly 1,673,9410,7.151965993623804,4415,15.243488108720271,890,16076
window_n12,12,"[t2-12-12h, t2-12]",pleural_effusion,Pleural Effusion,unique patient with >=1 CXR study labeled exactly 1,3845,9410,40.86078639744952,5642,68.14959234314072,5824,16076
window_n12,12,"[t2-12-12h, t2-12]",pulmonary_edema,Edema,unique patient with >=1 CXR study labeled exactly 1,2459,9410,26.131774707757703,4385,56.07753705815279,3525,16076
