stratum,n_queries,gallery_size,case2_recall@1,case3_recall@1,case2_recall@5,case3_recall@5,case2_mrr,case3_mrr,case2_median_rank,case3_median_rank,case2_mean_percentile_rank,case3_mean_percentile_rank,case2_win_fraction,case3_win_fraction,tie_fraction,mean_percentile_rank_difference_case2_minus_case3,mean_percentile_rank_difference_95ci,mean_reciprocal_rank_difference_case2_minus_case3,mean_reciprocal_rank_difference_95ci,n
all,11197,11197,0.002857908368312941,0.005447887827096543,0.01214611056533,0.017236759846387426,0.012305205021624306,0.016019213264638385,799.0,752.0,0.8625484969035018,0.8673531176354049,0.4691435205858712,0.5284451192283648,0.002411360185764044,-0.0048046207319031595,"[-0.007194714638800274, -0.002464784634390311]",-0.0037140082430140806,"[-0.005472931944366477, -0.002073170976771936]",0
multi_L>1,1181,11197,0.002540220152413209,0.005080440304826418,0.013547840812870448,0.013547840812870448,0.012376411574257602,0.014090824148211634,781.0,821.0,0.8672888496829185,0.859948242674065,0.5012701100762066,0.4970364098221846,0.001693480101608806,0.007340607008853711,"[-0.0011603386536681933, 0.015862551007844523]",-0.0017144125739540336,"[-0.00710007211587859, 0.0033635303636686043]",0
L=1,10016,11197,0.002895367412140575,0.005491214057507987,0.011980830670926517,0.017671725239616614,0.012296808961454585,0.016246592212971055,801.0,746.5,0.861989555546424,0.8682262363783505,0.46535543130990414,0.5321485623003195,0.0024960063897763577,-0.006236680831926508,"[-0.008819704344788244, -0.003816902067089228]",-0.0039497832515164675,"[-0.005638064201504312, -0.0022018700985183947]",0
L=2,978,11197,0.003067484662576687,0.006134969325153374,0.015337423312883436,0.016359918200409,0.013211541345389181,0.015661790727466006,763.0,802.0,0.8689628416809685,0.8611697429187023,0.49897750511247446,0.5,0.0010224948875255625,0.007793098762266104,"[-0.0010328422143169739, 0.01755494768435411]",-0.0024502493820768227,"[-0.008546785380000994, 0.003213759197298658]",0
L=3,162,11197,0.0,0.0,0.0,0.0,0.006184336098702621,0.006559976470093741,887.5,834.5,0.8540781760681726,0.8534733524759724,0.49382716049382713,0.5,0.006172839506172839,0.0006048235922000338,"[-0.021483063836731816, 0.02391592125053478]",-0.0003756403713911196,"[-0.0031676344445455812, 0.002177838106540467]",0
L>=4,41,11197,0.0,0.0,0.024390243902439025,0.0,0.01692176061994594,0.006373556083439093,764.0,1207.0,0.8795562875242902,0.856394705426154,0.5853658536585366,0.4146341463414634,0.0,0.023161582098136086,"[-0.02199146690019955, 0.07051418625118724]",0.010548204536506848,"[-0.0038562987907905734, 0.03399441562794838]",0
all,4846,4846,0.005571605447791993,0.005365249690466364,0.025175402393726783,0.025588113908378042,0.021767533946667954,0.02107829841060326,382.0,422.0,0.8546450063397429,0.8387389597540257,0.547874535699546,0.44923648369789515,0.002888980602558811,0.015906046585717284,"[0.01203915584523446, 0.019622821498649634]",0.0006892355360646947,"[-0.0021612426398614835, 0.003573028816764087]",2
multi_L>1,503,4846,0.003976143141153081,0.005964214711729622,0.019880715705765408,0.033797216699801194,0.019685984269109596,0.023925601967005997,394.0,452.0,0.8593655815365803,0.8349477951691296,0.5467196819085487,0.45129224652087474,0.0019880715705765406,0.024417786367450612,"[0.011382232918279797, 0.038644931238164405]",-0.0042396176978964015,"[-0.013770598035726356, 0.005363355157582638]",2
L=1,4343,4846,0.005756389592447617,0.0052958784250518075,0.025788625374165323,0.0246373474556758,0.022008616029977154,0.020748527816803912,382.0,420.0,0.8540982761246821,0.8391780469716638,0.5480082892010131,0.4489983882109141,0.0029933225880727607,0.014920229153018258,"[0.010869199383038599, 0.01888016658242972]",0.0012600882131732442,"[-0.0015172078838085804, 0.004233689606985223]",2
L=2,414,4846,0.004830917874396135,0.007246376811594203,0.021739130434782608,0.036231884057971016,0.01950356306371804,0.02629607965390479,400.0,421.5,0.8562226110886765,0.8331389001061905,0.533816425120773,0.463768115942029,0.0024154589371980675,0.02308371098248605,"[0.010544275935647593, 0.037411620127328835]",-0.006792516590186751,"[-0.0190177504389592, 0.004475548870881575]",2
L=3,52,4846,0.0,0.0,0.019230769230769232,0.038461538461538464,0.024403107652111157,0.01562274298187704,330.5,505.0,0.8668055886322142,0.8466896880209573,0.6346153846153846,0.36538461538461536,0.0,0.020115900611256655,"[-0.03236941335238549, 0.07459395094070015]",0.008780364670234115,"[-0.011311548779380606, 0.035077859418354305]",2
L>=4,37,4846,0.0,0.0,0.0,0.0,0.015097658947921049,0.00907076155756292,484.0,487.0,0.8840766463057484,0.8386857445680974,0.5675675675675675,0.43243243243243246,0.0,0.04539090173765096,"[-0.005807184893872214, 0.09677363121635565]",0.006026897390358127,"[-0.004428851307586777, 0.018409002778127702]",2
all,2864,2864,0.005935754189944134,0.00558659217877095,0.02094972067039106,0.0223463687150838,0.020988065044879115,0.020847356310462622,331.0,335.0,0.8092391219508387,0.8071417107499458,0.5118715083798883,0.48533519553072624,0.002793296089385475,0.0020974112008929156,"[-0.0035623092597326317, 0.007428443130130717]",0.00014070873441649506,"[-0.003875740556023679, 0.004165862063644519]",4
multi_L>1,378,2864,0.007936507936507936,0.005291005291005291,0.026455026455026454,0.026455026455026454,0.02299148994827939,0.02043919381008631,391.5,426.5,0.7935131129333016,0.7736880136460996,0.5687830687830688,0.4312169312169312,0.0,0.019825099287201976,"[0.0033052612514715227, 0.03701305841543356]",0.002552296138193076,"[-0.008747029274174214, 0.013632790836114175]",4
L=1,2486,2864,0.0056315366049879325,0.0056315366049879325,0.02011263073209976,0.02172164119066774,0.020683441306550355,0.020909418026127242,327.0,318.5,0.8116302850275198,0.8122283951848831,0.503218020917136,0.49356395816572807,0.003218020917135961,-0.0005981101573632484,"[-0.006475027179800318, 0.004938381446754986]",-0.00022597671957688673,"[-0.004468324550114297, 0.0040372296763718455]",4
L=2,303,2864,0.009900990099009901,0.006600660066006601,0.0297029702970297,0.0297029702970297,0.025236663077701022,0.022876048128941128,408.0,424.0,0.7909668018845196,0.7757262628114017,0.5643564356435643,0.43564356435643564,0.0,0.015240539073117933,"[-0.005351796968030719, 0.03480375543666836]",0.0023606149487598975,"[-0.01281142151945221, 0.017177242169015384]",4
L=3,55,2864,0.0,0.0,0.01818181818181818,0.01818181818181818,0.01698688533240417,0.012968753106902474,230.0,450.0,0.8109294128854032,0.772431969008986,0.6,0.4,0.0,0.03849744387641698,"[-0.0013798304385101517, 0.07889419871082463]",0.004018132225501697,"[-0.009737339707709191, 0.019337194395122832]",4
L>=4,20,2864,0.0,0.0,0.0,0.0,0.00548977973119849,0.004064562813191459,479.5,452.0,0.7841949004540691,0.7462626615438351,0.55,0.45,0.0,0.03793223891023402,"[-0.039964634998253576, 0.12308155780649663]",0.0014252169180070306,"[-0.0030543163787847176, 0.005414127370519529]",4
all,2495,2495,0.0056112224448897794,0.009619238476953907,0.01963927855711423,0.028857715430861724,0.01911459436706671,0.02632745028243096,394.0,313.0,0.7660311802434058,0.7948549866372682,0.44048096192384767,0.5559118236472946,0.0036072144288577155,-0.028823806393862304,"[-0.03649632464608447, -0.021337779809820122]",-0.00721285591536425,"[-0.012159229561452491, -0.0026689386490663975]",6
multi_L>1,343,2495,0.0029154518950437317,0.011661807580174927,0.014577259475218658,0.026239067055393587,0.014208505916057265,0.026367368150640186,421.0,369.0,0.7703234117567292,0.7811458871554121,0.49271137026239065,0.49854227405247814,0.008746355685131196,-0.010822475398682785,"[-0.03129545895572113, 0.009492431982530665]",-0.012158862234582924,"[-0.025454817455491774, -0.00043482044466669565]",6
L=1,2152,2495,0.0060408921933085506,0.00929368029739777,0.020446096654275093,0.029275092936802975,0.019896559208468306,0.02632108790845523,392.5,303.5,0.7653470559826856,0.7970400336271737,0.43215613382899626,0.5650557620817844,0.0027881040892193307,-0.031692977644488037,"[-0.03982953605381541, -0.024314688896474222]",-0.006424528699986925,"[-0.01177032654685769, -0.0016696592562627254]",6
L=2,245,2495,0.004081632653061225,0.0,0.012244897959183673,0.02040816326530612,0.015375686202091884,0.01713545571282748,398.0,356.0,0.7752663535341965,0.788480107359704,0.49387755102040815,0.49795918367346936,0.00816326530612245,-0.013213753825507747,"[-0.039177945436394274, 0.01262986269086624]",-0.0017597695107355936,"[-0.009572727437871888, 0.008185061078923287]",6
L=3,67,2495,0.0,0.029850746268656716,0.029850746268656716,0.029850746268656716,0.014114819161286594,0.03924598553606624,349.0,369.0,0.7614693174065519,0.7697099905444709,0.47761194029850745,0.5074626865671642,0.014925373134328358,-0.00824067313791906,"[-0.05198236962740426, 0.03629053010808028]",-0.02513116637477964,"[-0.0669987857887051, 0.008749171640447808]",6
L>=4,31,2495,0.0,0.06451612903225806,0.0,0.06451612903225806,0.005186500835126705,0.07149482564872303,600.0,423.0,0.750394495175518,0.7478981814419122,0.5161290322580645,0.4838709677419355,0.0,0.0024963137336058076,"[-0.06881838994231315, 0.06946736684171041]",-0.06630832481359633,"[-0.16432397719552463, 0.00020259538513726303]",6
all,2381,2381,0.00503989920201596,0.008399832003359933,0.020579588408231837,0.024359512809743807,0.01974214432015574,0.023546254693202335,386.0,331.0,0.7617371770211655,0.7809683806323874,0.4636707265854683,0.5342293154136917,0.0020999580008399833,-0.01923120361122189,"[-0.02717823878816541, -0.010886517563766374]",-0.0038041103730465926,"[-0.008523370196432024, 0.0006673449123039712]",8
multi_L>1,340,2381,0.008823529411764706,0.014705882352941176,0.01764705882352941,0.03235294117647059,0.023518517371625452,0.029068869603337547,350.5,352.5,0.774637913989125,0.7680610479485912,0.5058823529411764,0.49411764705882355,0.0,0.006576866040533861,"[-0.015101983440434993, 0.02577415966386555]",-0.0055503522317120945,"[-0.02122353348946509, 0.008025586690196271]",8
L=1,2041,2381,0.004409603135717786,0.007349338559529643,0.021068103870651642,0.023027927486526212,0.019113057187622812,0.022626269847809893,392.0,329.0,0.759588107658546,0.7831185487423779,0.4566389024987751,0.5409113179813817,0.002449779519843214,-0.023530441083831868,"[-0.032037779099881, -0.014597047295155204]",-0.0035132126601870777,"[-0.008157464934194163, 0.0011758386527298541]",8
L=2,278,2381,0.01079136690647482,0.014388489208633094,0.02158273381294964,0.03237410071942446,0.026322622028758725,0.029486026835106236,351.0,297.5,0.7760549543558432,0.7756680369989724,0.4892086330935252,0.5107913669064749,0.0,0.0003869173568708053,"[-0.022580595187715373, 0.02264158001330028]",-0.003163404806347511,"[-0.020060833954141027, 0.013587030559634342]",8
L=3,44,2381,0.0,0.022727272727272728,0.0,0.022727272727272728,0.007815829790375413,0.029700804647993375,460.0,599.0,0.7476413292589764,0.7036191749427043,0.5909090909090909,0.4090909090909091,0.0,0.04402215431627196,"[-0.02318086325439266, 0.10688765278838806]",-0.02188497485761796,"[-0.06520305584930552, 0.002394282289070249]",8
L>=4,18,2381,0.0,0.0,0.0,0.05555555555555555,0.018595026198956092,0.021081377803529075,336.0,373.5,0.8187441643323995,0.8080999066293183,0.5555555555555556,0.4444444444444444,0.0,0.010644257703081243,"[-0.07898109243697479, 0.11054680205415497]",-0.002486351604572985,"[-0.020774631961750657, 0.015708653743654894]",8
all,2331,2331,0.003861003861003861,0.005577005577005577,0.018447018447018446,0.02702702702702703,0.017634209490224276,0.0231527768375627,374.0,313.0,0.7562259377710021,0.7778865929080521,0.4453024453024453,0.5516945516945517,0.003003003003003003,-0.021660655137049987,"[-0.029828206502026243, -0.013533674692472982]",-0.0055185673473384265,"[-0.009637964067479984, -0.0012096120107904869]",10
multi_L>1,320,2331,0.0125,0.00625,0.03125,0.025,0.02693182641512234,0.023955428405173892,322.0,289.0,0.7643173283261802,0.7752937231759656,0.48125,0.515625,0.003125,-0.01097639484978541,"[-0.034749128218884116, 0.012190685354077227]",0.00297639800994845,"[-0.011528697980358894, 0.018554776399539608]",10
L=1,2011,2331,0.002486325211337643,0.005469915464942815,0.016409746394828444,0.02734957732471407,0.01615472793081732,0.023025055056540532,390.0,314.0,0.7549383967577467,0.7782991828206667,0.4395822973644953,0.5574341123818995,0.0029835902536051715,-0.023360786062920032,"[-0.03199778898461893, -0.01429634862334414]",-0.0068703271257232095,"[-0.011284447023904014, -0.0027714353161645885]",10
L=2,252,2331,0.015873015873015872,0.007936507936507936,0.03571428571428571,0.023809523809523808,0.03067365039766638,0.025998289979309547,302.5,276.5,0.7813713468219906,0.7850449621908849,0.48412698412698413,0.5158730158730159,0.0,-0.0036736153688943477,"[-0.027207319980925137, 0.022049867157163283]",0.004675360418356834,"[-0.012244593368793803, 0.022558209987983545]",10
L=3,47,2331,0.0,0.0,0.0,0.02127659574468085,0.009905848553500617,0.016535326687975516,610.0,477.0,0.6810884850698566,0.7103186923568625,0.48936170212765956,0.48936170212765956,0.02127659574468085,-0.02923020728700574,"[-0.10704273582321248, 0.05355287188384622]",-0.0066294781344749,"[-0.020782285052507104, 0.0046862723018957]",10
L>=4,21,2331,0.0,0.0,0.047619047619047616,0.047619047619047616,0.020135698600604456,0.016047983834990072,488.0,258.0,0.745943184140609,0.8036991620682609,0.42857142857142855,0.5714285714285714,0.0,-0.05775597792765173,"[-0.17260116492949107, 0.0645764357245044]",0.004087714765614388,"[-0.026379086148047185, 0.04072548084095349]",10
all,2384,2384,0.004614093959731544,0.007130872483221477,0.024748322147651006,0.02348993288590604,0.020743072814781036,0.022987468772512242,378.0,321.0,0.7613017402349417,0.7808874803910248,0.46434563758389263,0.5322986577181208,0.003355704697986577,-0.019585740156083217,"[-0.02710442236958095, -0.012285762264586686]",-0.0022443959577312053,"[-0.006415316665101405, 0.0018668683403528159]",12
multi_L>1,323,2384,0.009287925696594427,0.009287925696594427,0.02476780185758514,0.034055727554179564,0.024835990008564277,0.029165071716322263,360.0,362.0,0.7752657173035524,0.7707848030879202,0.5232198142414861,0.47368421052631576,0.0030959752321981426,0.004480914215632135,"[-0.01687585827890801, 0.024915584980817414]",-0.004329081707757984,"[-0.018501045547678587, 0.010385629017915678]",12
L=1,2061,2384,0.0038816108685104317,0.006792819019893256,0.024745269286754003,0.021834061135371178,0.020101630673300206,0.022019314599367828,386.0,318.0,0.7591133052067216,0.7824707723701139,0.45511887433284814,0.5414847161572053,0.003396409509946628,-0.02335746716339232,"[-0.03142098741225195, -0.014537553017359948]",-0.0019176839260676205,"[-0.0063116424870886005, 0.0026243805205146574]",12
L=2,275,2384,0.01090909090909091,0.01090909090909091,0.02909090909090909,0.03636363636363636,0.027387039853860297,0.03177251769954994,365.0,329.0,0.7690794643878991,0.772200053408614,0.52,0.4763636363636364,0.0036363636363636364,-0.0031205890207149155,"[-0.024791591958188686, 0.01972902758173425]",-0.004385477845689646,"[-0.020782647819219912, 0.014293629073033122]",12
L=3,35,2384,0.0,0.0,0.0,0.02857142857142857,0.012989237192146088,0.018610831149329207,254.0,393.0,0.8281397997721959,0.7812361369222468,0.4857142857142857,0.5142857142857142,0.0,0.04690366284994903,"[-0.0245950482584977, 0.12230891433367302]",-0.005621593957183117,"[-0.02407865029414526, 0.008191342263109013]",12
L>=4,13,2384,0.0,0.0,0.0,0.0,0.0027665777868897718,0.00242282359764111,544.0,698.0,0.7637754607960231,0.7127086090577487,0.6923076923076923,0.3076923076923077,0.0,0.05106685173827431,"[-0.037715872042351224, 0.14763630201103975]",0.0003437541892486622,"[-0.0010869701313423283, 0.002070277492043443]",12
