case,n,experiment,best_epoch,best_val_monitor,test_r1,test_r5,test_r10,test_mrr,test_median_rank,temporal_r1,temporal_mrr
1,0,case1_all_ecg_mv0.02_proto0.1_n0,54,0.015554739312196766,0.003479636219849743,0.01597469355476473,0.03052589956504547,0.014580617099704376,730.0,0.3425183118242065,0.567510647923083
1,2,case1_all_ecg_mv0.02_proto0.1_n2,25,0.02079314703520931,0.0052746453255729355,0.02400873044743543,0.042742815569297925,0.021057533478412077,413.0,0.4069319640564827,0.6376943873413681
1,4,case1_all_ecg_mv0.02_proto0.1_n4,26,0.02744251335867323,0.006873879258816497,0.028989838613269574,0.05080693365212194,0.02499977595613811,317.5,0.4035752979414951,0.6447182767876167
1,6,case1_all_ecg_mv0.02_proto0.1_n6,23,0.02325358488884253,0.00804289544235925,0.02848525469168901,0.04825737265415549,0.025879589473674146,324.0,0.3801935116676153,0.6212094788788035
1,8,case1_all_ecg_mv0.02_proto0.1_n8,41,0.029535335566351167,0.0046362339514978606,0.021398002853067047,0.04386590584878745,0.02116491953832436,309.0,0.36959134615384615,0.616334258356496
1,10,case1_all_ecg_mv0.02_proto0.1_n10,26,0.02538369404482737,0.007988380537400145,0.026506899055918662,0.04793028322440087,0.025088974524949143,311.5,0.3930317848410758,0.6275175788623243
1,12,case1_all_ecg_mv0.02_proto0.1_n12,31,0.02993630521131667,0.006126126126126126,0.024144144144144144,0.047207207207207204,0.024098181318814766,329.0,0.37252619324796277,0.6188675168448181
2,0,case2_sequence_ecg_mv0.02_proto0.1_n0,60,0.016358004781843263,0.0033937661873716172,0.015271947843172278,0.026524962043404484,0.014388509597865255,697.0,0.37526511134676566,0.5910039157401676
2,2,case2_sequence_ecg_mv0.02_proto0.1_n2,49,0.02146488934308111,0.0070160957490713995,0.024969046636401156,0.044779199339661575,0.023303472297779963,389.0,0.42459138187221396,0.6483504866027135
2,4,case2_sequence_ecg_mv0.02_proto0.1_n4,13,0.024320382922368888,0.006284916201117319,0.024441340782122904,0.03875698324022346,0.02168734084365111,375.0,0.4199743918053777,0.6522152570007904
2,6,case2_sequence_ecg_mv0.02_proto0.1_n6,10,0.018969704980181145,0.0056112224448897794,0.022444889779559118,0.03847695390781563,0.02018108875265371,385.0,0.37742382271468145,0.6176021443161352
2,8,case2_sequence_ecg_mv0.02_proto0.1_n8,14,0.02128535370554611,0.0029399412011759767,0.01763964720705586,0.03611927761444771,0.017151621928551956,387.0,0.373134328358209,0.6175390312916982
2,10,case2_sequence_ecg_mv0.02_proto0.1_n10,19,0.019561672006840763,0.001716001716001716,0.014586014586014585,0.03003003003003003,0.015502991465967503,384.0,0.3884476534296029,0.6284130630701046
2,12,case2_sequence_ecg_mv0.02_proto0.1_n12,12,0.02147566767049225,0.003355704697986577,0.020134228187919462,0.03733221476510067,0.017628416996638044,382.0,0.3801089918256131,0.6220763001757572
3,0,case3_nearest_ecg_mv0.02_proto0.1_n0,55,0.015970364807962874,0.004197552915959632,0.017683308028936324,0.030633205322854337,0.015404819000014664,715.0,0.3476935312831389,0.5715686674542064
3,2,case3_nearest_ecg_mv0.02_proto0.1_n2,49,0.023268005838978093,0.007222451506397029,0.028683450268262484,0.04869995872884853,0.024353509609062827,369.0,0.40676077265973254,0.6369542954981264
3,4,case3_nearest_ecg_mv0.02_proto0.1_n4,26,0.027936847821544035,0.00558659217877095,0.03037709497206704,0.051675977653631286,0.024404233522704648,313.0,0.41165172855313703,0.6480577521070501
3,6,case3_nearest_ecg_mv0.02_proto0.1_n6,23,0.024808767485682816,0.008817635270541082,0.024849699398797595,0.04448897795591182,0.02488990242560778,319.0,0.39335180055401664,0.6273292958196024
3,8,case3_nearest_ecg_mv0.02_proto0.1_n8,30,0.028525941023211862,0.00503989920201596,0.021839563208735827,0.039059218815623686,0.02078955684395094,317.0,0.3724235963041933,0.6161378126729959
3,10,case3_nearest_ecg_mv0.02_proto0.1_n10,26,0.026864940128501602,0.005148005148005148,0.024882024882024883,0.04847704847704848,0.022848164558430743,307.0,0.3913357400722022,0.628278712863552
3,12,case3_nearest_ecg_mv0.02_proto0.1_n12,24,0.026685438899677904,0.006711409395973154,0.02726510067114094,0.04320469798657718,0.023357052010433452,317.0,0.3801089918256131,0.6225293760886424
